# Golden Image Package Analysis Report
# Generated: 2026-03-24 07:33:22
# Total installed packages: 384
# Format: CATEGORY|package|priority|rdeps|reason
CRITICAL|librtmp1|optional|3|transitive dep of critical libcurl4 (pass 2)
CRITICAL|libsasl2-2|standard|2|transitive dep of critical libldap-2.5-0 (pass 3)
SAFE|libsasl2-modules|optional|2|no critical cascade
CRITICAL|libsasl2-modules-db|standard|2|transitive dep of critical libsasl2-2 (pass 4)
CRITICAL|libseccomp2|important|3|transitive dep of critical systemd (pass 1)
CRITICAL|libselinux1|required|23|dpkg priority required
CRITICAL|libsemanage-common|required|2|dpkg priority required
CRITICAL|libsemanage2|required|2|dpkg priority required
CRITICAL|libsepol2|required|2|dpkg priority required
SAFE|libsgutils2-2|optional|2|no critical cascade
CRITICAL|libsigsegv2|optional|2|removal cascades to: gawk 
CRITICAL|libsmartcols1|required|4|dpkg priority required
SAFE|libsort-naturally-perl|optional|2|no critical cascade
CRITICAL|libsqlite3-0|optional|4|transitive dep of critical gpg (pass 1)
CRITICAL|libss2|required|2|dpkg priority required
CRITICAL|libssh-4|optional|5|transitive dep of critical cryptsetup (pass 1)
CRITICAL|libssl3|required|19|dpkg priority required
CRITICAL|libstdc++6|important|12|transitive dep of critical gdisk (pass 1)
SAFE|libstemmer0d|optional|2|no critical cascade
CRITICAL|libsystemd0|required|18|dpkg priority required
CRITICAL|libtasn1-6|important|2|transitive dep of critical libgnutls30 (pass 2)
SAFE|libterm-readkey-perl|optional|2|no critical cascade
CRITICAL|libtinfo6|required|13|dpkg priority required
CRITICAL|libtirpc-common|required|2|dpkg priority required
CRITICAL|libtirpc3|required|5|dpkg priority required
SAFE|libuchardet0|optional|2|no critical cascade
CRITICAL|libudev1|required|17|dpkg priority required
CRITICAL|libunistring2|important|4|transitive dep of critical libpsl5 (pass 2)
SAFE|libunwind8|optional|2|no critical cascade
SAFE|liburcu8|optional|2|no critical cascade
SAFE|libusb-1.0-0|optional|2|no critical cascade
CRITICAL|libuuid1|required|13|dpkg priority required
RISKY|libx11-6|optional|6|6 rdeps: Reverse Depends: libx11-data libxext6 libxmuu1 xauth 
SAFE|libx11-data|optional|2|no critical cascade
SAFE|libxau6|optional|3|no critical cascade
SAFE|libxcb1|optional|2|no critical cascade
SAFE|libxdmcp6|optional|2|no critical cascade
SAFE|libxext6|optional|2|no critical cascade
SAFE|libxml2|optional|4|no critical cascade
SAFE|libxmlb2|optional|2|no critical cascade
SAFE|libxmuu1|optional|2|no critical cascade
CRITICAL|libxtables12|optional|2|transitive dep of critical iproute2 (pass 1)
CRITICAL|libxxhash0|important|2|transitive dep of critical libapt-pkg6.0 (pass 3)
CRITICAL|libyaml-0-2|optional|4|transitive dep of critical python3-yaml (pass 2)
CRITICAL|libzstd1|required|11|dpkg priority required
CRITICAL|linux-base|optional|2|boot/network/installer chain
CRITICAL|login|required|1|dpkg priority required
CRITICAL|logsave|required|2|dpkg priority required
CRITICAL|lsb-base|required|16|dpkg priority required
CRITICAL|lsb-release|optional|9|transitive dep of critical plymouth-theme-ubuntu-text (pass 1)
CRITICAL|lvm2|optional|2|boot/network/installer chain
SAFE|lxd-installer|optional|1|no critical cascade
CRITICAL|mawk|required|1|dpkg priority required
CRITICAL|mdadm|optional|2|boot/network/installer chain
CRITICAL|media-types|standard|1|removal cascades to: apport cloud-guest-utils cloud-init libpython3-stdlib libpython3.10-stdlib lsb-release netplan.io networkd-dispatcher plymouth-theme-ubuntu-text python3 python3-apport python3-apt python3-attr python3-babel python3-blinker python3-certifi python3-chardet python3-configobj python3-cryptography python3-dbus python3-debconf python3-distro python3-distutils python3-gi python3-httplib2 python3-idna python3-importlib-metadata python3-jeepney python3-jinja2 python3-json-pointer python3-jsonpatch python3-jsonschema python3-jwt python3-keyring python3-launchpadlib python3-lazr.restfulclient python3-lazr.uri python3-lib2to3 python3-markupsafe python3-more-itertools python3-netifaces python3-oauthlib python3-pkg-resources python3-problem-report python3-pyparsing python3-pyrsistent python3-requests python3-secretstorage python3-serial python3-setuptools python3-six python3-systemd python3-tz python3-urllib3 python3-wadllib python3-yaml python3-zipp python3.10 
CRITICAL|mount|required|3|dpkg priority required
SAFE|multipath-tools|optional|2|no critical cascade
CRITICAL|ncurses-base|required|1|dpkg priority required
CRITICAL|ncurses-bin|required|1|dpkg priority required
SAFE|needrestart|optional|3|no critical cascade
CRITICAL|netbase|important|4|boot/network/installer chain
CRITICAL|netplan.io|optional|3|boot/network/installer chain
CRITICAL|networkd-dispatcher|optional|2|boot/network/installer chain
SAFE|ntfs-3g|optional|2|no critical cascade
SAFE|open-iscsi|optional|4|no critical cascade
CRITICAL|openssh-client|standard|2|boot/network/installer chain
CRITICAL|openssl|optional|2|transitive dep of critical ca-certificates (pass 2)
SAFE|packagekit|optional|4|no critical cascade
SAFE|packagekit-tools|optional|2|no critical cascade
CRITICAL|passwd|required|3|dpkg priority required
SAFE|pci.ids|optional|2|no critical cascade
RISKY|pciutils|standard|3|standard priority, 3 rdeps
RISKY|perl|standard|11|11 rdeps: Reverse Depends: adduser debconf libintl-xs-perl libmodule-find-perl 
CRITICAL|perl-base|required|8|dpkg priority required
RISKY|perl-modules-5.34|standard|3|standard priority, 3 rdeps
CRITICAL|pinentry-curses|optional|1|boot/network/installer chain
CRITICAL|pkexec|optional|2|boot/network/installer chain
CRITICAL|plymouth|optional|5|boot/network/installer chain
CRITICAL|plymouth-theme-ubuntu-text|optional|1|boot/network/installer chain
RISKY|policykit-1|optional|7|7 rdeps: Reverse Depends: apport dbus-user-session packagekit pkexec 
CRITICAL|polkitd|optional|3|boot/network/installer chain
SAFE|pollinate|optional|2|no critical cascade
CRITICAL|procps|required|4|dpkg priority required
SAFE|publicsuffix|optional|2|no critical cascade
CRITICAL|python-apt-common|optional|3|transitive dep of critical python3-apt (pass 2)
CRITICAL|python-babel-localedata|optional|2|transitive dep of critical python3-babel (pass 3)
CRITICAL|python3|optional|19|boot/network/installer chain
CRITICAL|python3-apport|optional|2|boot/network/installer chain
CRITICAL|python3-apt|optional|10|transitive dep of critical python3-apport (pass 1)
CRITICAL|python3-attr|optional|2|transitive dep of critical python3-jsonschema (pass 2)
CRITICAL|python3-babel|optional|2|transitive dep of critical python3-jinja2 (pass 2)
CRITICAL|python3-blinker|optional|2|transitive dep of critical python3-oauthlib (pass 2)
CRITICAL|python3-certifi|optional|2|transitive dep of critical python3-requests (pass 2)
CRITICAL|python3-cffi-backend|optional|1|removal cascades to: apport cloud-init python3-apport python3-cryptography python3-keyring python3-launchpadlib python3-lazr.restfulclient python3-oauthlib python3-secretstorage 
CRITICAL|python3-chardet|optional|2|transitive dep of critical python3-requests (pass 2)
SAFE|python3-click|optional|2|no critical cascade
SAFE|python3-colorama|optional|2|no critical cascade
CRITICAL|python3-configobj|optional|2|transitive dep of critical cloud-init (pass 1)
CRITICAL|python3-cryptography|optional|6|transitive dep of critical python3-oauthlib (pass 2)
CRITICAL|python3-dbus|optional|7|transitive dep of critical networkd-dispatcher (pass 1)
CRITICAL|python3-debconf|optional|2|transitive dep of critical cloud-init (pass 1)
CRITICAL|python3-distro|optional|2|transitive dep of critical python3-lazr.restfulclient (pass 3)
SAFE|python3-distro-info|optional|4|no critical cascade
SAFE|python3-distupgrade|optional|3|no critical cascade
CRITICAL|python3-distutils|optional|2|transitive dep of critical python3-setuptools (pass 3)
CRITICAL|python3-gi|optional|9|transitive dep of critical networkd-dispatcher (pass 1)
CRITICAL|python3-httplib2|optional|4|transitive dep of critical python3-apport (pass 1)
CRITICAL|python3-idna|optional|3|transitive dep of critical python3-requests (pass 2)
CRITICAL|python3-importlib-metadata|optional|3|transitive dep of critical python3-jsonschema (pass 2)
CRITICAL|python3-jeepney|optional|3|transitive dep of critical python3-keyring (pass 3)
CRITICAL|python3-jinja2|optional|2|transitive dep of critical cloud-init (pass 1)
CRITICAL|python3-json-pointer|optional|2|transitive dep of critical python3-jsonpatch (pass 2)
CRITICAL|python3-jsonpatch|optional|2|transitive dep of critical cloud-init (pass 1)
CRITICAL|python3-jsonschema|optional|2|transitive dep of critical cloud-init (pass 1)
CRITICAL|python3-jwt|optional|2|transitive dep of critical python3-oauthlib (pass 2)
CRITICAL|python3-keyring|optional|2|transitive dep of critical python3-launchpadlib (pass 2)
CRITICAL|python3-launchpadlib|optional|4|transitive dep of critical python3-apport (pass 1)
CRITICAL|python3-lazr.restfulclient|optional|2|transitive dep of critical python3-launchpadlib (pass 2)
CRITICAL|python3-lazr.uri|optional|4|transitive dep of critical python3-launchpadlib (pass 2)
CRITICAL|python3-lib2to3|optional|2|transitive dep of critical python3-distutils (pass 4)
CRITICAL|python3-markupsafe|optional|2|transitive dep of critical python3-jinja2 (pass 2)
CRITICAL|python3-minimal|optional|2|boot/network/installer chain
CRITICAL|python3-more-itertools|optional|2|transitive dep of critical python3-zipp (pass 4)
CRITICAL|python3-netifaces|optional|3|transitive dep of critical netplan.io (pass 1)
CRITICAL|python3-oauthlib|optional|3|transitive dep of critical cloud-init (pass 1)
CRITICAL|python3-pkg-resources|optional|10|transitive dep of critical python3-jsonschema (pass 2)
CRITICAL|python3-problem-report|optional|2|transitive dep of critical python3-apport (pass 1)
CRITICAL|python3-pyparsing|optional|2|transitive dep of critical python3-httplib2 (pass 2)
CRITICAL|python3-pyrsistent|optional|2|transitive dep of critical python3-jsonschema (pass 2)
CRITICAL|python3-requests|optional|2|transitive dep of critical cloud-init (pass 1)
CRITICAL|python3-secretstorage|optional|2|transitive dep of critical python3-keyring (pass 3)
CRITICAL|python3-serial|optional|2|transitive dep of critical cloud-init (pass 1)
CRITICAL|python3-setuptools|optional|3|transitive dep of critical python3-jsonschema (pass 2)
CRITICAL|python3-six|optional|5|transitive dep of critical python3-jsonschema (pass 2)
SAFE|python3-software-properties|optional|2|no critical cascade
CRITICAL|python3-systemd|optional|2|pattern match: *systemd*
CRITICAL|python3-tz|optional|2|transitive dep of critical python3-babel (pass 3)
SAFE|python3-update-manager|optional|2|no critical cascade
CRITICAL|python3-urllib3|optional|2|transitive dep of critical python3-requests (pass 2)
CRITICAL|python3-wadllib|optional|2|transitive dep of critical python3-lazr.restfulclient (pass 3)
SAFE|python3-xkit|optional|2|no critical cascade
CRITICAL|python3-yaml|optional|5|transitive dep of critical cloud-init (pass 1)
CRITICAL|python3-zipp|optional|2|transitive dep of critical python3-importlib-metadata (pass 3)
CRITICAL|python3.10|optional|3|boot/network/installer chain
CRITICAL|python3.10-minimal|optional|3|boot/network/installer chain
CRITICAL|readline-common|optional|2|transitive dep of critical libreadline8 (pass 2)
CRITICAL|sed|required|2|dpkg priority required
CRITICAL|sensible-utils|required|6|dpkg priority required
SAFE|sg3-utils|optional|3|no critical cascade
SAFE|sg3-utils-udev|optional|2|no critical cascade
SAFE|shared-mime-info|optional|2|no critical cascade
CRITICAL|snapd|optional|3|boot/network/installer chain
SAFE|software-properties-common|optional|2|no critical cascade
CRITICAL|squashfs-tools|optional|2|boot/network/installer chain
CRITICAL|sudo|optional|2|boot/network/installer chain
CRITICAL|systemd|important|12|boot/network/installer chain
CRITICAL|systemd-hwe-hwdb|optional|2|pattern match: *systemd*
CRITICAL|systemd-sysv|important|4|boot/network/installer chain
CRITICAL|systemd-timesyncd|standard|1|boot/network/installer chain
CRITICAL|sysvinit-utils|required|1|dpkg priority required
CRITICAL|tar|required|2|dpkg priority required
SAFE|thin-provisioning-tools|optional|2|no critical cascade
CRITICAL|tzdata|required|2|dpkg priority required
SAFE|ubuntu-drivers-common|optional|2|no critical cascade
SAFE|ubuntu-keyring|important|2|no critical cascade
SAFE|ubuntu-release-upgrader-core|optional|2|no critical cascade
SAFE|ubuntu-server-minimal|optional|1|no critical cascade
SAFE|ucf|standard|2|no critical cascade
CRITICAL|udev|important|12|boot/network/installer chain
SAFE|unattended-upgrades|optional|3|no critical cascade
SAFE|usbutils|optional|2|no critical cascade
CRITICAL|usrmerge|required|1|dpkg priority required
CRITICAL|util-linux|required|4|dpkg priority required
CRITICAL|wget|standard|1|boot/network/installer chain
SAFE|xauth|optional|2|no critical cascade
SAFE|xdg-user-dirs|optional|2|no critical cascade
SAFE|xfsprogs|optional|2|no critical cascade
CRITICAL|xkb-data|optional|2|boot/network/installer chain
SAFE|xxd|optional|1|no critical cascade
RISKY|xz-utils|standard|4|standard priority, 4 rdeps
CRITICAL|zlib1g|required|33|dpkg priority required
CRITICAL|zstd|optional|2|transitive dep of critical initramfs-tools-core (pass 1)

# ═══ SUMMARY ═══
# CRITICAL: 287 (must keep)
# SAFE: 89 (can remove)
# RISKY: 8 (needs review)
# TOTAL: 384
